   CH4(S1) => CH4   
  T/K     DeltaU(kJ/mol)  DeltaH(kJ/mol)  DeltaS(J/K mol)  DeltaG(kJ/mol)     K
 5000.0          -101.83          -60.26            47.92         -299.85  1.36e+03
   CH4(S1) => CH4   
  T/K     DeltaU(kJ/mol)  DeltaH(kJ/mol)  DeltaS(J/K mol)  DeltaG(kJ/mol)     K
  600.0             8.83           13.82            83.67          -36.38  1.47e+03
  610.0             8.58           13.65            83.40          -37.22  1.54e+03
  620.0             8.33           13.49            83.13          -38.05  1.61e+03
  630.0             8.08           13.32            82.86          -38.88  1.67e+03
  640.0             7.84           13.16            82.60          -39.71  1.74e+03
  650.0             7.59           12.99            82.34          -40.53  1.81e+03
  660.0             7.34           12.83            82.09          -41.35  1.87e+03
  670.0             7.09           12.66            81.84          -42.17  1.94e+03
  680.0             6.84           12.49            81.60          -42.99  2.01e+03
  690.0             6.59           12.33            81.35          -43.81  2.07e+03
  700.0             6.34           12.16            81.11          -44.62  2.14e+03
  710.0             6.09           11.99            80.88          -45.43  2.20e+03
  720.0             5.84           11.83            80.64          -46.24  2.26e+03
  730.0             5.59           11.66            80.41          -47.04  2.32e+03
  740.0             5.34           11.49            80.18          -47.84  2.38e+03
  750.0             5.09           11.32            79.96          -48.65  2.44e+03
  760.0             4.84           11.16            79.74          -49.44  2.50e+03
  770.0             4.59           10.99            79.52          -50.24  2.56e+03
  780.0             4.34           10.82            79.30          -51.03  2.62e+03
  790.0             4.09           10.65            79.09          -51.83  2.67e+03
  800.0             3.83           10.49            78.88          -52.62  2.73e+03
  810.0             3.58           10.32            78.67          -53.40  2.78e+03
  820.0             3.33           10.15            78.46          -54.19  2.83e+03
  830.0             3.08            9.98            78.26          -54.97  2.88e+03
  840.0             2.83            9.81            78.06          -55.75  2.93e+03
  850.0             2.58            9.64            77.86          -56.53  2.98e+03
  860.0             2.32            9.48            77.66          -57.31  3.03e+03
  870.0             2.07            9.31            77.46          -58.09  3.07e+03
  880.0             1.82            9.14            77.27          -58.86  3.12e+03
  890.0             1.57            8.97            77.08          -59.63  3.16e+03
  900.0             1.32            8.80            76.89          -60.40  3.20e+03
  910.0             1.06            8.63            76.70          -61.17  3.24e+03
  920.0             0.81            8.46            76.52          -61.94  3.28e+03
  930.0             0.56            8.29            76.34          -62.70  3.32e+03
  940.0             0.31            8.12            76.16          -63.46  3.36e+03
  950.0             0.05            7.95            75.98          -64.22  3.40e+03
  960.0            -0.20            7.78            75.80          -64.98  3.43e+03
  970.0            -0.45            7.61            75.62          -65.74  3.47e+03
  980.0            -0.70            7.44            75.45          -66.50  3.50e+03
  990.0            -0.96            7.28            75.28          -67.25  3.53e+03
 1000.0            -1.21            7.11            75.11          -68.00  3.56e+03
 1010.0            -1.46            6.94            74.94          -68.75  3.59e+03
 1020.0            -1.71            6.77            74.77          -69.50  3.62e+03
 1030.0            -1.97            6.60            74.60          -70.25  3.65e+03
 1040.0            -2.22            6.43            74.44          -70.99  3.68e+03
 1050.0            -2.47            6.26            74.28          -71.74  3.70e+03
 1060.0            -2.73            6.09            74.12          -72.48  3.73e+03
 1070.0            -2.98            5.92            73.96          -73.22  3.75e+03
 1080.0            -3.23            5.75            73.80          -73.96  3.77e+03
 1090.0            -3.49            5.58            73.64          -74.69  3.80e+03
 1100.0            -3.74            5.41            73.49          -75.43  3.82e+03
 1110.0            -3.99            5.24            73.33          -76.16  3.84e+03
 1120.0            -4.25            5.07            73.18          -76.90  3.86e+03
 1130.0            -4.50            4.90            73.03          -77.63  3.87e+03
 1140.0            -4.75            4.73            72.88          -78.36  3.89e+03
 1150.0            -5.01            4.55            72.73          -79.08  3.91e+03
 1160.0            -5.26            4.38            72.58          -79.81  3.92e+03
 1170.0            -5.51            4.21            72.44          -80.54  3.94e+03
 1180.0            -5.77            4.04            72.29          -81.26  3.95e+03
 1190.0            -6.02            3.87            72.15          -81.98  3.97e+03
 1200.0            -6.27            3.70            72.00          -82.70  3.98e+03
 1210.0            -6.53            3.53            71.86          -83.42  3.99e+03
 1220.0            -6.78            3.36            71.72          -84.14  4.00e+03
 1230.0            -7.03            3.19            71.58          -84.86  4.01e+03
 1240.0            -7.29            3.02            71.45          -85.57  4.02e+03
 1250.0            -7.54            2.85            71.31          -86.29  4.03e+03
 1260.0            -7.79            2.68            71.17          -87.00  4.04e+03
 1270.0            -8.05            2.51            71.04          -87.71  4.05e+03
 1280.0            -8.30            2.34            70.91          -88.42  4.06e+03
 1290.0            -8.56            2.17            70.77          -89.13  4.06e+03
 1300.0            -8.81            2.00            70.64          -89.83  4.07e+03
 1310.0            -9.06            1.83            70.51          -90.54  4.07e+03
 1320.0            -9.32            1.66            70.38          -91.24  4.08e+03
 1330.0            -9.57            1.49            70.25          -91.95  4.08e+03
 1340.0            -9.82            1.32            70.12          -92.65  4.09e+03
 1350.0           -10.08            1.15            70.00          -93.35  4.09e+03
 1360.0           -10.33            0.98            69.87          -94.05  4.09e+03
 1370.0           -10.58            0.81            69.75          -94.75  4.10e+03
 1380.0           -10.84            0.64            69.62          -95.44  4.10e+03
 1390.0           -11.09            0.47            69.50          -96.14  4.10e+03
 1400.0           -11.34            0.30            69.38          -96.83  4.10e+03
 1410.0           -11.60            0.13            69.26          -97.53  4.10e+03
 1420.0           -11.85           -0.04            69.14          -98.22  4.10e+03
 1430.0           -12.10           -0.22            69.02          -98.91  4.10e+03
 1440.0           -12.36           -0.39            68.90          -99.60  4.10e+03
 1450.0           -12.61           -0.56            68.78         -100.29  4.10e+03
 1460.0           -12.87           -0.73            68.66         -100.98  4.10e+03
 1470.0           -13.12           -0.90            68.55         -101.66  4.10e+03
 1480.0           -13.37           -1.07            68.43         -102.35  4.09e+03
 1490.0           -13.63           -1.24            68.32         -103.03  4.09e+03
 1500.0           -13.88           -1.41            68.20         -103.71  4.09e+03
 1510.0           -14.13           -1.58            68.09         -104.39  4.08e+03
 1520.0           -14.39           -1.75            67.98         -105.07  4.08e+03
